                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.26398,                0.76203,                0.99125,                 0.9529,                      1,                  0.995,                0.96183,                0.30568,                0.63966,                0.44743,             0.00064261,             0.00064261,             0.00064261
                    103,                0.20732,                0.74356,                0.95511,                0.94372,                      1,                  0.995,                0.96183,                0.32962,                0.76578,                0.43639,              0.0006419,              0.0006419,              0.0006419
                    104,                0.23531,                0.82837,                0.98009,                0.93455,                      1,                  0.995,                0.92867,                0.30719,                0.94053,                0.40967,             0.00064119,             0.00064119,             0.00064119
                    105,                0.26448,                0.80586,                 1.0007,                0.95424,                      1,                  0.995,                 0.8955,                0.23841,                 1.1178,                0.35907,             0.00064049,             0.00064049,             0.00064049
                    106,                0.28914,                 0.8677,                 1.0374,                0.96095,                      1,                  0.995,                  0.995,                0.19499,                 1.0669,                0.31383,             0.00063978,             0.00063978,             0.00063978
                    107,                0.25941,                0.98506,                 0.9842,                 0.9651,                      1,                  0.995,                  0.995,                0.18631,                 1.0764,                 0.2991,             0.00063907,             0.00063907,             0.00063907
                    108,                0.22935,                0.73034,                0.96721,                0.96181,                      1,                  0.995,                  0.995,                 0.1985,                 1.0723,                0.30558,             0.00063837,             0.00063837,             0.00063837
                    109,                0.26161,                0.73311,                 1.0275,                0.96313,                      1,                  0.995,                  0.995,                0.22766,                0.83364,                0.33538,             0.00063766,             0.00063766,             0.00063766
                    110,                0.24436,                0.66927,                 1.0155,                0.95825,                      1,                  0.995,                  0.995,                0.24693,                0.58968,                 0.3557,             0.00063695,             0.00063695,             0.00063695
                    111,                0.22154,                0.71788,                0.96934,                0.88941,                      1,                  0.995,                  0.995,                0.25056,                0.53126,                0.36611,             0.00063625,             0.00063625,             0.00063625
                    112,                0.30616,                0.65729,                0.98611,                0.82864,                      1,                  0.995,                  0.995,                0.24984,                0.57376,                0.37267,             0.00063554,             0.00063554,             0.00063554
                    113,                0.22741,                0.63327,                0.99569,                0.82942,                      1,                  0.995,                  0.995,                0.26764,                0.57367,                0.41862,             0.00063483,             0.00063483,             0.00063483
                    114,                0.23459,                0.73079,                0.97001,                0.79431,                      1,                  0.995,                  0.995,                0.31953,                0.61447,                0.48188,             0.00063412,             0.00063412,             0.00063412
                    115,                0.22568,                0.61534,                0.96766,                0.89543,                      1,                  0.995,                  0.995,                0.32743,                0.62435,                0.49687,             0.00063342,             0.00063342,             0.00063342
                    116,                 0.2441,                0.67741,                0.95247,                 0.8919,                      1,                  0.995,                0.96183,                 0.3282,                0.67562,                 0.4886,             0.00063271,             0.00063271,             0.00063271
                    117,                 0.2358,                0.71689,                0.96263,                0.97197,                      1,                  0.995,                0.96183,                0.29908,                0.50434,                0.46497,               0.000632,               0.000632,               0.000632
                    118,                0.24466,                0.63867,                0.99121,                0.95952,                      1,                  0.995,                  0.995,                0.28139,                0.45067,                 0.4491,              0.0006313,              0.0006313,              0.0006313
                    119,                0.26567,                0.78626,                0.97117,                0.96014,                      1,                  0.995,                  0.995,                0.28887,                0.41699,                0.42914,             0.00063059,             0.00063059,             0.00063059
                    120,                0.24801,                 0.7106,                 0.9942,                0.96504,                      1,                  0.995,                  0.995,                0.27008,                0.39813,                0.39117,             0.00062988,             0.00062988,             0.00062988
                    121,                0.23951,                0.69868,                0.98869,                0.97204,                      1,                  0.995,                  0.995,                0.24251,                0.42294,                0.35212,             0.00062918,             0.00062918,             0.00062918
                    122,                0.25964,                0.64874,                0.96613,                0.97426,                      1,                  0.995,                  0.995,                0.22841,                0.44584,                0.33328,             0.00062847,             0.00062847,             0.00062847
                    123,                0.20537,                0.65573,                0.96929,                0.97438,                      1,                  0.995,                  0.995,                 0.2224,                0.43397,                0.32043,             0.00062776,             0.00062776,             0.00062776
                    124,                0.24747,                0.64933,                 1.0354,                0.97434,                      1,                  0.995,                  0.995,                0.24066,                0.45637,                0.35097,             0.00062706,             0.00062706,             0.00062706
                    125,                0.21979,                0.68279,                0.99211,                0.97364,                      1,                  0.995,                  0.995,                0.25557,                0.42452,                0.37608,             0.00062635,             0.00062635,             0.00062635
                    126,                0.31413,                0.74123,                 1.0426,                0.97182,                      1,                  0.995,                  0.995,                0.26513,                0.42779,                0.39311,             0.00062564,             0.00062564,             0.00062564
                    127,                0.28725,                0.75498,                0.96049,                0.97227,                      1,                  0.995,                  0.995,                0.25448,                0.47237,                0.39062,             0.00062494,             0.00062494,             0.00062494
                    128,                0.22557,                0.66642,                0.95859,                0.97266,                      1,                  0.995,                  0.995,                0.24948,                0.57173,                0.38345,             0.00062423,             0.00062423,             0.00062423
                    129,                0.22433,                0.55655,                 0.9724,                0.97075,                      1,                  0.995,                  0.995,                0.23906,                0.77881,                0.36134,             0.00062352,             0.00062352,             0.00062352
                    130,                 0.2212,                0.58311,                0.97765,                0.97078,                      1,                  0.995,                  0.995,                0.23761,                0.78263,                0.34921,             0.00062282,             0.00062282,             0.00062282
                    131,                0.24385,                0.58905,                0.99989,                0.97014,                      1,                  0.995,                  0.995,                0.23191,                0.63979,                0.33156,             0.00062211,             0.00062211,             0.00062211
                    132,                0.23421,                0.68671,                0.96198,                0.96756,                      1,                  0.995,                  0.995,                0.21578,                0.52759,                0.31649,              0.0006214,              0.0006214,              0.0006214
                    133,                0.26024,                0.70287,                 1.0181,                0.97008,                      1,                  0.995,                  0.995,                0.22193,                0.47389,                0.34128,             0.00062069,             0.00062069,             0.00062069
